Gene.symbol	Gene.ID	adj.P.Val	logFC	B
FAM19A2	338811	4.96437011238237e-10	-3.51643342135075	19.0853739374107
SLC22A17	51310	5.75322736214613e-10	-1.85749664949047	18.9212968924892
SDR42E1	93517	9.17231120818512e-10	-2.41482188174503	18.4516014666399
PRO2012	55478	1.33776126066542e-09	-3.50015848692579	18.0677382277105
ABI3BP	25890	1.60588900407506e-09	-1.66571992843159	17.8635969922502
MYCT1	80177	1.60588900407506e-09	-5.55423110629519	17.8505826342699
NAP1L2	4674	1.78161738801472e-09	-2.63492172209577	17.7306480891852
MAN2B1	4125	2.59569074122575e-09	1.93221080273715	17.3494145868336
STAC	6769	2.93579173075272e-09	-1.47981916549129	17.2117419460144
SYTL4	94121	3.12051589478422e-09	-3.10435213551327	17.1341022490219
		3.44454218607419e-09	-1.27479521116708	17.0205426544273
TCTEX1D1	200132	3.62992905812899e-09	-3.67125581875705	16.9518811532666
IL12RB2	3595	5.87558505192474e-09	-4.03504137699461	16.4711913661051
KLF3-AS1	79667	6.08731582977864e-09	-3.03987555307173	16.4195393002757
TMEM136///TMEM136	219902///219902	7.6911757517893e-09	-2.88034941518491	16.1774730039533
STARD9	57519	7.80367119388277e-09	-2.62314978039967	16.1465069085639
STARD9	57519	8.04568880832738e-09	-2.65577356158085	16.099396616847
PLS3	5358	8.04568880832738e-09	-2.57133644590962	16.0840084699455
ARMC4	55130	8.14073890485727e-09	-1.55749576754892	16.0565670434267
CXorf57	55086	1.09568543555357e-08	-2.15257679379187	15.7551282861192
PGM5P2///PGM5	595135///5239	1.33372404420623e-08	-3.47920581420813	15.5505160991021
ARMCX1	51309	1.46130536516105e-08	-2.53084115283873	15.4473124928414
ECRP///ECRP	643332///643332	1.57837322734215e-08	4.248636043716	15.3580859545891
QSOX1	5768	1.77811490267935e-08	2.17269947167247	15.2286215527624
HTR1F	3355	1.80324431566378e-08	-4.08320504512645	15.2004508859294
ATP11A	23250	2.22443798571569e-08	2.02595132799419	14.9841671120944
PLA2R1	22925	2.42323192875776e-08	-1.64152415562396	14.8876201648926
STARD9	57519	2.62966954278208e-08	-2.89624395314013	14.794972660161
CP	1356	2.84320825352413e-08	-2.84701072452944	14.6924950401163
PDZRN4	29951	2.84320825352413e-08	-1.45963528360033	14.6924251139272
ATP9A	10079	2.94474556135589e-08	-2.65866791710987	14.645235633854
FAM107B	83641	2.98273643674298e-08	2.82678169815755	14.6196461188158
RNF17	56163	3.07731104017612e-08	-1.48041570895025	14.5765472597474
BEX5	340542	3.22818602098394e-08	-2.28736558825663	14.5176137256478
JAM2	58494	3.57317881640048e-08	-1.96593851089221	14.4072391701958
L3MBTL4	91133	3.98075282353394e-08	-3.19055808047678	14.2907969281023
SLC25A27	9481	5.07865000878421e-08	-3.00907773864262	14.0441493100765
BEND7	222389	5.09471677311703e-08	-2.01612017751783	14.0288606578678
VWDE	221806	7.69989304644594e-08	-3.99635577650456	13.6195688833763
LTBP3	4054	8.56014651154233e-08	-2.01960584831758	13.5057611267475
PLD1	5337	1.04685553417279e-07	2.51804695695481	13.3003957641904
		1.22814081945654e-07	-3.11537576955473	13.1318508726585
CYYR1	116159	1.22814081945654e-07	-3.74503017617993	13.1236126767349
		1.29748228181673e-07	-2.46493436337521	13.0594051736212
TSPYL5	85453	1.4337107168278e-07	-3.04992304090174	12.9521308769024
ENO2	2026	1.67163483575624e-07	-2.15032537651327	12.7933424827299
		1.73501013624592e-07	2.08093877702156	12.7465612353829
TLR2	7097	2.01063192446824e-07	2.8923343310908	12.5883326992916
GPC5	2262	2.01063192446824e-07	-1.85514514193988	12.5831455139323
CCDC175	729665	2.03551236410189e-07	-2.18661184204436	12.5606894964038
C3AR1	719	2.11824608178334e-07	4.03687583584162	12.5118599576462
SEPT5-GP1BB	100526833	2.15232418041154e-07	-2.5247062321364	12.4861124098716
TSPAN6	7105	2.28586246442356e-07	-1.60902421038101	12.4179317203343
LDOC1	23641	2.63983169650792e-07	-1.69290692212894	12.2692867511185
REC8	9985	2.6596313698933e-07	-2.32458684666999	12.2520292326485
PRR11	55771	2.69585040013663e-07	2.96342706869901	12.2290538095004
ACPP	55	3.20084635868554e-07	3.02304707022927	12.0540558898957
METTL24	728464	3.45428552575222e-07	-1.7763358968665	11.9710075879338
DGKD	8527	3.56686388226435e-07	1.41786091665381	11.9304983581287
TRIM74///TRIM73///TRIM50	378108///375593///135892	3.98071869821143e-07	-1.80122745818657	11.8153563257198
TNFRSF1B	7133	3.99876617268831e-07	2.6606664952811	11.8015311031521
TMEM163	81615	4.53882121109107e-07	-2.6050054541024	11.6703203221973
MTURN	222166	5.36175485969659e-07	-2.91341415196476	11.5007928984271
SH3KBP1	30011	6.19856003260687e-07	1.52934303349295	11.3521299390313
MCF2L2	23101	7.60822560929596e-07	-1.52844063927861	11.1459742744745
MAP2K7	5609	8.17891356994643e-07	1.36096603807587	11.065933293501
PTPRJ	5795	8.17891356994643e-07	2.80281504981053	11.058453086731
HMGN2	3151	8.41732251000948e-07	1.61605357402737	11.0219640146658
FHL1	2273	8.5089578287218e-07	-3.54220926415175	10.9962483364708
FIGN	55137	8.5089578287218e-07	-1.21977752529602	10.9940704127078
CALN1	83698	8.85154269497324e-07	-2.19821101804229	10.9474941764571
FLNA	2316	9.25359412900489e-07	1.4083325658922	10.888408392769
VWA2	340706	9.25359412900489e-07	-1.19509502582173	10.8877666549227
LRRN1	57633	9.6398824288439e-07	-2.61120421487479	10.8400483024692
PDK1	5163	9.6489793017671e-07	2.09431505822181	10.8308170314484
		9.86297079775529e-07	-1.05203287241045	10.8014743537178
ITGB2	3689	1.01313780019879e-06	2.33267519952322	10.7674770930902
ZNF300	91975	1.11962582566399e-06	-2.25806282783997	10.6632772558189
MNDA	4332	1.18281096726622e-06	4.30090552333002	10.6024525188143
PCYT1B	9468	1.20684065361071e-06	-2.14301237795108	10.568714223504
TYROBP	7305	1.20684065361071e-06	2.7865465914801	10.5672264661557
NLGN1	22871	1.21724559635031e-06	-0.965152226274461	10.5511255772057
SYDE2	84144	1.22179428603938e-06	-1.47209401286401	10.5397554971886
FGD5	152273	1.31190220722002e-06	-2.04233981061318	10.4588084749123
		1.31190220722002e-06	-3.28293782262852	10.4493641040676
MIPOL1	145282	1.31190220722002e-06	-1.11887488846974	10.4431821384131
PCDH9	5101	1.31190220722002e-06	-1.47771459318284	10.4408280175772
PGM5	5239	1.51163485609499e-06	-2.11041924930099	10.297119988565
DPPA4	55211	1.52605660211357e-06	-3.70741230303607	10.2766616424354
STAC3	246329	1.52605660211357e-06	1.68805405833209	10.2732039265277
GATS	352954	1.52756893424454e-06	-1.37400067672015	10.2649419406145
PRKCA	5578	1.57101681526127e-06	2.62509012896891	10.2307290511192
ZNRF1	84937	1.62763676409073e-06	-1.46825440492123	10.1894960437942
FBN1	2200	1.64270132736194e-06	-2.21209152668201	10.1734940496833
UCHL1	7345	1.65647091738051e-06	-2.40519870281426	10.1583768936362
		1.71765617874769e-06	-2.38934190597803	10.1164719274167
FAM46A	55603	1.81456205926774e-06	2.13295709546351	10.0567299766501
TRO	7216	1.86836996180885e-06	-1.94992962258831	10.0217038455034
FNDC3B	64778	1.90639526191497e-06	2.02631308108251	9.99544962922391
NCF2	4688	1.94273680640912e-06	3.79438445354519	9.97045987517234
FAM169A	26049	1.94730181799779e-06	-3.10586273473839	9.96141190688245
OSCAR	126014	1.99518598769648e-06	1.54981931325871	9.93132011387289
CAMLG	819	2.09302063215083e-06	-1.80688092306882	9.87861547250868
THRB	7068	2.09898532922831e-06	-1.9572591024801	9.86922966096159
POTEF///POTEJ///POTEM///POTEE///POTEKP	728378///653781///641455///445582///440915	2.13920649119563e-06	1.66779073320066	9.84438307829861
IL1RAP	3556	2.24168469410367e-06	2.57127687405473	9.79285435148159
SIRPA	140885	2.35250576438357e-06	2.03601806407877	9.73996793935955
SERPINE2	5270	2.42484624434786e-06	-2.95383214939386	9.70355384805064
OBSCN	84033	2.42484624434786e-06	-1.05267411859992	9.69796395888767
GCNT2	2651	2.46974347080362e-06	-2.50430282449254	9.67394915911994
SEMA3C	10512	2.47636449702281e-06	-2.19150084827446	9.6650336059895
AASS	10157	2.59676523188245e-06	-3.75041902575954	9.61311269266818
		2.5986656799337e-06	-2.05937842209204	9.60614971745595
ARHGEF17	9828	2.81469095858042e-06	-1.4249519158607	9.52320004009546
TVP23A	780776	2.85511618096428e-06	-1.67310382000788	9.5033191693183
C10orf10	11067	2.89039958088976e-06	-2.933213036284	9.48130057546537
GRN	2896	2.89039958088976e-06	2.2484264625398	9.47860038442863
MIR24-2	407013	2.89039958088976e-06	-3.61678402363765	9.46892026074024
CD68	968	2.89039958088976e-06	2.65606099984329	9.46719187969718
PACRG	135138	2.94931140202385e-06	-1.51947428460199	9.44181920550469
NSUN7	79730	2.99034094788145e-06	-1.62198287081219	9.42259586689688
SLC2A9	56606	3.01928466126222e-06	2.08570006274254	9.40742848766672
TXNRD3NB///TXNRD3	645840///114112	3.1430390321412e-06	-1.64332667010406	9.36295786015236
RNPEP	6051	3.16114612974638e-06	1.30734126923383	9.35159838088819
TMEM220	388335	3.34583322173832e-06	-1.65233852837604	9.29124211644942
		3.42144638116316e-06	-1.32838031669486	9.26400275500005
CDC42BPA	8476	3.43068761101235e-06	-3.46293800487811	9.25567598726316
FLJ11710	79904	3.46535911655452e-06	-2.60003198141376	9.24031441700596
SETBP1	26040	3.48823277591523e-06	-2.08758537140008	9.22832648657156
CA13	377677	3.53552264825081e-06	-1.70363966892662	9.20975591816557
PLSCR4	57088	3.96467272787741e-06	-2.63668171543449	9.09410435742648
SLC8A3	6547	3.96707394686873e-06	-1.40894516316459	9.08795419581269
TMEM246	84302	4.13441706558421e-06	-1.23411273714096	9.04272999048412
CDKN2C	1031	4.1593100394587e-06	1.86181849667869	9.03145950258186
C1orf21	81563	4.24097447346142e-06	-2.58881272994735	9.00731012356905
RAB8A	4218	4.26542122150111e-06	1.23817785855722	8.9963472296807
RYR3	6263	4.73785129664665e-06	-1.3920936613864	8.89004585076936
STK33	65975	4.74419738917764e-06	-2.80794290921103	8.88337971643906
		5.6546242330896e-06	-1.67443982917786	8.70943733722772
TMEM98	26022	5.6874136364114e-06	-2.28753013520813	8.69856486064621
TIMP1	7076	5.76951266471351e-06	2.59977718744279	8.679511411275
FAM213A	84293	5.86917983864226e-06	-2.34377275809577	8.65780309527284
ZNF385D	79750	5.90104590600446e-06	-1.86832147519154	8.64737069517099
CSF2RA	1438	5.92197380431194e-06	2.25214515934453	8.63876671155035
MME	4311	6.01039100017732e-06	-2.36382978250539	8.61935972743822
WARS	7453	6.51263202167133e-06	2.47400615810572	8.53673333700602
ZNF354C	30832	6.51263202167133e-06	-1.87658615595564	8.52769522047961
CLPB	81570	6.51263202167133e-06	1.29570785061567	8.52351685837256
EVA1C	59271	6.51263202167133e-06	-1.74678205554768	8.52187160796425
HAVCR2	84868	7.02026839593493e-06	2.66938602862728	8.44476831392799
F2RL1	2150	7.07699017183692e-06	-2.75393413597886	8.43202899929358
BMP6///BMP6	654///654	7.19890332170237e-06	-1.99007696097222	8.4106440136129
MDGA2	161357	7.80473644945485e-06	-1.26633809150332	8.32811216204604
SLC16A2	6567	7.96727805882178e-06	-1.52768662549295	8.30338982085425
MIR23A	407010	8.23184914004109e-06	-2.89555891030348	8.26712083475827
SMO	6608	8.63155914320868e-06	-1.40612073257628	8.21672304632561
CD96	10225	8.63579326530455e-06	5.40091407681675	8.21139220992016
IL13RA1	3597	8.69543123232668e-06	3.79789382678234	8.19995071789933
TMEM63A	9725	9.40709160038697e-06	-1.13937556427778	8.11963453708861
GPR21	2844	1.04504264524549e-05	-3.09016576418366	8.01390455619873
SGMS2	166929	1.04714871997614e-05	2.31587904891543	8.0068325580184
ARG2	384	1.04714871997614e-05	-2.30300000983002	7.99912445987827
PDE3B	5140	1.04714871997614e-05	3.03523744880887	7.99775488375573
TREM1	54210	1.07378902921767e-05	3.94415524290299	7.96895338597991
ARMCX2	9823	1.09650734744534e-05	-1.50794494549876	7.9441926160201
SHANK3	85358	1.14998330933407e-05	-1.54895609380887	7.89385276445094
SERGEF	26297	1.15694139535962e-05	-1.55905397232048	7.88344002052288
ATP6V1B2	526	1.1967627291102e-05	1.25802503847181	7.84636709094183
ARSB	411	1.21420932050918e-05	1.50638296693408	7.82790034238382
		1.22141862129484e-05	-2.22524486196434	7.81766214945473
WDR17	116966	1.26993017351455e-05	-2.43751909839262	7.77575575977662
TMEM104	54868	1.27184983691477e-05	1.61022999337231	7.76979154939425
CDADC1	81602	1.28240296205045e-05	-1.67088474748549	7.75736979772994
HIST1H2BJ	8970	1.29302344112377e-05	-2.36768399872595	7.74498415990086
TPD52L2	7165	1.3129819525843e-05	1.45921294773424	7.72189764760216
SSPN	8082	1.3129819525843e-05	-2.27245547741791	7.72140520142431
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2	100996712///653464///647135///23380	1.33795862900051e-05	1.93852505380887	7.69891576994685
PXK	54899	1.34611133446971e-05	1.75037682633002	7.6886971708817
GGT7	2686	1.36452827476269e-05	-0.982850915236733	7.67129033425622
LOC102724238///LOC554249///GLIDR	102724238///554249///389741	1.380207369189e-05	-1.22953939334204	7.65597947619076
RAPGEF3	10411	1.41707496112528e-05	-1.15603871936857	7.62636048882106
CD33	945	1.45574200659564e-05	2.76316809970066	7.59622499647481
ACTG1	71	1.46319845516807e-05	0.857388419859038	7.58703229969529
		1.46979465550132e-05	1.66747172584909	7.57844498383829
EIF3J-AS1	645212	1.58345608097854e-05	-1.5270808005908	7.50274445581552
TSPAN2	10100	1.59874187300874e-05	-3.28679231903649	7.48929531592193
PAWR	5074	1.59946941807037e-05	-3.12335442529063	7.48464300370055
LOC100129940	100129940	1.61212061990307e-05	-1.78716496452156	7.47288915832496
NEDD9	4739	1.62049298406986e-05	2.22785637525207	7.46374194618975
KLHL3	26249	1.63252269161257e-05	-1.68190125617579	7.45248751087507
CPD	1362	1.64213436319436e-05	1.61336051302322	7.44271447064528
ITGAM	3684	1.71219785263236e-05	3.01783897805805	7.39851949020621
FCER1G	2207	1.78116190669064e-05	3.74065715048217	7.3565433905008
UNC93B1	81622	1.80659194311322e-05	1.80472662358002	7.33885945504875
BAIAP3	8938	1.82223209958629e-05	-1.43125183628317	7.32652135397272
SLC18A2	6571	1.82809837382065e-05	-2.96122199260821	7.31938453011417
CHRNA5	1138	2.03065063962059e-05	-2.59906203603566	7.21458928168888
DMRTC1B///FAM226B///FAM226A///DMRTC1	728656///653687///203429///63947	2.05454047548915e-05	-1.20964686116459	7.19935512257304
PTPN18	26469	2.1746840978358e-05	2.14839288635904	7.138095840602
AKT3	10000	2.1746840978358e-05	-3.48460905242994	7.13687864583573
MYO5C	55930	2.25599223111454e-05	-2.24144067568325	7.09643662937226
TAPT1-AS1	202020	2.25599223111454e-05	-1.59237999052032	7.09376569372788
		2.29989928530471e-05	-2.59550179501451	7.0713504945955
NT5DC3	51559	2.30019268581402e-05	2.28563987461485	7.06730744308911
TMTC2	160335	2.35660405556702e-05	2.15607027491169	7.04017691578924
SNX30	401548	2.50024303019621e-05	1.63184891630348	6.97957436933846
LAG3	3902	2.51936457397086e-05	-1.29713057184328	6.96839898844633
SP140	11262	2.54783875845142e-05	1.96929503293615	6.95376969960949
ROBO4	54538	2.55535716672313e-05	-1.51618268368823	6.94710392425369
GPRASP1	9737	2.6112837269126e-05	-1.68809790900041	6.92252729451852
IFI30	10437	2.64368653689688e-05	3.04640788263723	6.9068967314527
ARHGAP19-SLIT1///ARHGAP19	100533184///84986	2.70556533458325e-05	1.61985227958707	6.88092704223895
CTSH	1512	2.71397776116225e-05	3.02548683891874	6.8741711869827
DPP9	91039	2.77655743801055e-05	1.67721587806012	6.84551753829645
PRSS3P2///PRSS2///PRSS3P2///PRSS2	154754///5645///154754///5645	2.77655743801055e-05	-2.26272252146849	6.8448075641027
MIRLET7C	406885	2.78780630962922e-05	-0.776858259686568	6.83613467034065
HMGN2	3151	2.78780630962922e-05	1.33340595022969	6.83347503258549
SEPT5-GP1BB	100526833	2.92854375762793e-05	-2.33371395587728	6.78257212983306
RASSF9	9182	3.04140772181997e-05	-1.44424745430638	6.74041202967747
MED12L	116931	3.04140772181997e-05	-2.89225384763018	6.73896586016766
LCP1	3936	3.12246409813303e-05	1.08853507776948	6.71009991023384
NETO2	81831	3.1559646824729e-05	3.87640595242413	6.69622479612351
SPAG5	10615	3.31871169798179e-05	2.15962685562604	6.64441333921205
LYST	1130	3.41436771218572e-05	2.16414922348549	6.61356798248409
IL17RA	23765	3.45438352077932e-05	2.27860988421227	6.59879729128247
ARHGAP22	58504	3.48000654935549e-05	-1.70031981420937	6.5881229006578
GIPC2	54810	3.64831956413611e-05	-2.09573441923259	6.53803052766366
PLCB2	5330	3.64831956413611e-05	1.36011867932007	6.53572803755129
CACNB2	783	3.71644771700023e-05	-1.76535148126658	6.51445120164915
		3.8116213460878e-05	-2.19199988183997	6.48668952650768
GPR132	29933	3.89335125106423e-05	1.94190250709619	6.46284097781606
LTBP4	8425	3.97761641541385e-05	-1.10280868137189	6.43881774583251
BANF1	8815	4.05797980601895e-05	1.48817078971517	6.4161585987923
ZNF106	64397	4.12034196887424e-05	1.59523105307836	6.3980636261549
FAM65C	140876	4.1225651721209e-05	-1.76249507175788	6.39407079626884
TPTEP1	387590	4.17500560761672e-05	-2.57447618031343	6.37850195174539
PITPNM1	9600	4.25352281301761e-05	1.35116944779809	6.35720802997654
SV2A	9900	4.28113994532755e-05	-1.81423244020481	6.34522632128884
SMARCA1	6594	4.28113994532755e-05	-2.75248030828317	6.34414568824814
SNHG16///SNORD1C///SNHG16	100507246///677850///100507246	4.32033585359264e-05	-1.90763960982379	6.33200423253782
ACTB	60	4.4854077504428e-05	1.20678027650083	6.29269716306275
CYBB	1536	4.54010936071811e-05	4.50822352206799	6.27581495243927
GUCY1B3	2983	4.54010936071811e-05	-2.64922937219237	6.27358004727776
		4.54010936071811e-05	1.71584045644776	6.27095768959438
INPPL1	3636	4.54567898334898e-05	1.00163718680804	6.26642999316244
NDUFA10	4705	4.60762690196632e-05	-0.887669650591211	6.24986445118428
PBXIP1	57326	4.60762690196632e-05	-1.93166090688806	6.24679719471235
CCL5	6352	4.79370653328727e-05	2.98699436966501	6.20557256564794
CECR1	51816	5.00416632986645e-05	2.93620597187024	6.16113025903564
FANCD2	2177	5.05766697586543e-05	1.76491946868657	6.14500184014606
TRIB1	10221	5.05766697586543e-05	2.69960572674876	6.14437005824756
NUP62CL	54830	5.63917568873801e-05	-1.58132338090299	6.03307988861381
TPM2	7169	5.63917568873801e-05	-1.61621690931675	6.03273574702528
		5.63917568873801e-05	1.14358268203649	6.02782706909183
PINLYP	390940	5.63917568873801e-05	-1.41322825151203	6.02717022484055
ANAPC15	25906	5.83179439629062e-05	1.8679348236845	5.99179657711495
CLDN15	24146	5.85822025497132e-05	-1.15850658297305	5.98232977180195
C10orf12	26148	5.85822025497132e-05	1.69928302463806	5.98104643434842
		6.1209416710181e-05	-1.7911820686903	5.93586708778648
STAB1	23166	6.21318698479964e-05	2.45964123873549	5.91836840609191
SYPL1	6856	6.33718091122285e-05	-1.24755568777032	5.89589294171
PLAUR	5329	6.33718091122285e-05	2.63769188760655	5.89312241690525
TARP	445347	6.36603626612817e-05	4.39392394887189	5.88562240008843
MREG	55686	6.40620161403897e-05	-2.27311558180141	5.87646167258863
DIAPH2	1730	6.44686250723591e-05	1.48058007882338	5.8672754425313
		6.79632361941525e-05	1.81419853332048	5.81364555126785
FSTL1	11167	6.9332828941422e-05	-2.46856996222679	5.79144357972853
SPINK2	6691	6.9332828941422e-05	-3.25458656558914	5.78834446055207
KCTD20	222658	6.9766892270288e-05	0.833937319754142	5.7792824348763
GPR173	54328	7.3127791471007e-05	-1.1528518117641	5.72622100963924
FEZ2	9637	7.3127791471007e-05	1.22991398639387	5.72591158465853
		7.3127791471007e-05	-1.76555138395025	5.72505948503638
		7.40864640485907e-05	1.66167487263806	5.70954913998991
ELOVL7	79993	7.57784948279151e-05	-3.3187685917471	5.68490694096069
CD180	4064	7.66569206196589e-05	3.50613358102446	5.67085091878081
KPNA6	23633	8.18047748660728e-05	1.33341865412562	5.60566371195886
DOT1L	84444	8.35357305667036e-05	1.15805103222098	5.58262621304614
TP53INP1	94241	8.40616062847412e-05	-1.4830050649034	5.57362205457019
IQGAP3	128239	8.43861315027998e-05	1.49388694729063	5.56694399497278
CORO1A	11151	8.58548466195521e-05	1.33558066778773	5.5474592134994
NDRG1	10397	8.64582964047827e-05	1.01346082712065	5.53778689665716
LOC400464	400464	8.66101218246172e-05	-1.82562601399668	5.53314395815926
SCD	6319	8.89514659471763e-05	-2.40060400455058	5.504681304224
PARP8	79668	9.00476275917288e-05	2.19352286575788	5.49002334853938
ARF1	375	9.05613348624517e-05	0.982264862067165	5.48164649657874
ABO	28	9.06881625782878e-05	-1.95847320369362	5.47737985309129
C1orf132///MIR29C	100128537///407026	9.25609636788233e-05	-2.48372438697429	5.45491634147776
TADA2B	93624	9.33760451653128e-05	1.52579143912438	5.44362335042623
ZNF154	7710	9.40211522922128e-05	-2.35198974354395	5.43413915248513
TAF5L	27097	9.57799785878757e-05	1.02143351678648	5.41352699128587
ACTN1	87	0.000100668293747056	2.1089796131816	5.36305681348062
CD109	135228	0.000101733899564928	-3.1687261466194	5.34841092007735
		0.000101733899564928	-1.12695484183085	5.34606223955917
PTPRD	5789	0.000101733899564928	-1.51179016286857	5.34439223578432
KYNU	8942	0.000105096078949446	3.60654520721476	5.31046363931202
DPP3	10072	0.000106479418392247	1.460200067733	5.29421192652987
DKFZP434L187	26082	0.000106479418392247	-1.36797080234121	5.29229211865872
GATA3	2625	0.000106761637206931	-1.50564399776658	5.2869385560596
CBL	867	0.000107223382602435	1.25415459283541	5.27999233422558
FAM72A///FAM72D///FAM72B	729533///728833///653820	0.000107223382602435	2.46049377465174	5.27719145225454
ITGB7	3695	0.000112127781301925	2.36842467395315	5.23164820315234
NPR3	4883	0.00011639336663285	-2.93682021898134	5.19317773282562
EIF5AL1///EIF5A	143244///1984	0.000120442641206731	2.02318203030597	5.15771726278615
FAM129A	116496	0.000122420155690267	1.9310846254631	5.13938271345344
DCUN1D1	54165	0.00012758117743458	2.20645697658748	5.09528593595034
BUB1B	701	0.00012758117743458	1.98469973600207	5.09440570867147
RASGRP3	25780	0.000130705736269273	3.06361402267081	5.06854044757035
SUCNR1	56670	0.00013112080153105	2.51292891325498	5.06258765411507
TCEAL9	51186	0.00013112080153105	-1.52557271888391	5.06003675025891
COPE	11316	0.000131265585281415	1.08619476735779	5.05547178943869
LRRC70	100130733	0.000131265585281415	-2.70362783369362	5.05353899371029
ZBED8	63920	0.000138804348475576	-1.13711201919113	4.99748466323096
ZNF286B///ZNF286A	729288///57335	0.000141709962613824	-1.71536018439138	4.97499410069533
ZNF687	57592	0.000144313600485082	1.0135974854631	4.95347201650485
BEX1	55859	0.000144313600485082	-3.5893564083495	4.9501749753888
FAM21A///FAM21C	387680///253725	0.000144313600485082	0.88609126287189	4.9473121086459
TRAK2	66008	0.000144313600485082	2.20622088477819	4.94687299839022
		0.000144915868451975	-2.48768827695937	4.94023127390594
AZU1	566	0.000145240969756499	2.51157064895149	4.93543439698252
RAB31	11031	0.000146534718467203	3.36384804349668	4.92431551826212
IGF1R	3480	0.000148136201113662	-2.54920623677197	4.91129269517562
PLPP6	403313	0.000149135653759196	1.47091441370937	4.90223652144817
CFP	5199	0.000151804372907448	1.88177375893823	4.88267151258008
AAK1	22848	0.000153403881436848	1.5147966758495	4.87004237858665
HIBADH	11112	0.0001543272954642	-1.21816129919154	4.86169882378306
ANXA2R	389289	0.000154683986619976	-2.02987195664179	4.85688885249792
WDR49	151790	0.000154715242970585	-2.34151747894362	4.85409755534797
		0.000155754280398554	-1.59799798954022	4.84511488988796
ADRB2	154	0.0001571745699042	1.59447643819113	4.83386295158146
MS4A6A	64231	0.000163788964056064	3.70758211158997	4.79192719035451
LILRA2	11027	0.000167549792862202	2.34537956657546	4.7676831273889
ZNF521	25925	0.000168732921801767	-3.54384045577736	4.75840243431616
VIP	7432	0.000174324283252566	-0.87882751370481	4.72472485355929
CSF1R	1436	0.000174672933708698	3.00074795129561	4.72026852910678
FANCL	55120	0.000174804914897687	-1.77713283447098	4.71700531754187
MIR27A	407018	0.000174818445036602	-2.3029317182757	4.71439600306834
CTSD	1509	0.000175783768649963	1.5728200862927	4.70661077272549
SRGAP2	23380	0.000182162898866594	2.00102823377322	4.66843980718695
NOG	9241	0.000182162898866594	-2.43420988953524	4.66754805843956
		0.000183803701908065	1.89843581308292	4.65648087449734
		0.000186832895414712	-1.61668670895356	4.63837764708273
